matchID,team_A,team_B,matchWinner,playerScore,matchPlayed,matchDate,matchTime,server
M1,FURIA,Vitality,Vitality,"{'FURIA': '1', 'Vitality': '8'}",True,01/12/2025,10:00,0
M2,Falcons,MOUZ,MOUZ,"{'Falcons': '2', 'MOUZ': '10'}",True,02/12/2025,11:00,0
M3,The MongolZ,Spirit,Spirit,"{'The MongolZ': '3', 'Spirit': '10'}",True,03/12/2025,12:00,0
M4,Natus Vincere,G2,G2,"{'Natus Vincere': '1', 'G2': '2'}",True,04/12/2025,13:00,0
M5,Aurora,paiN,Aurora,"{'Aurora': '6', 'paiN': '3'}",True,05/12/2025,14:00,0
M6,Astralis,FaZe,FaZe,"{'Astralis': '6', 'FaZe': '9'}",True,07/12/2025,10:00,0
M7,3DMAX,Legacy,Legacy,"{'3DMAX': '4', 'Legacy': '7'}",True,08/12/2025,11:00,0
M8,Liquid,B8,Liquid,"{'Liquid': '3', 'B8': '2'}",True,09/12/2025,12:00,0
M9,FURIA,Falcons,,{},False,10/12/2025,13:00,0
M10,The MongolZ,Natus Vincere,,{},False,11/12/2025,14:00,0
M11,paiN,Astralis,,{},False,13/12/2025,10:00,0
M12,3DMAX,B8,,{},False,14/12/2025,11:00,0
M13,Natus Vincere,paiN,,{},False,15/12/2025,12:00,0
M14,Astralis,3DMAX,,{},False,16/12/2025,13:00,0
M15,TBD,TBD,,{},False,17/12/2025,15:00,0
