matchID,team_A,team_B,matchWinner,playerScore,matchPlayed
A4,FURIA,Vitality,,{},False
B9,Falcons,MOUZ,,{},False
B6,The MongolZ,Spirit,,{},False
E9,Natus Vincere,G2,,{},False
C4,Aurora,paiN,,{},False
A4,Astralis,FaZe,,{},False
B0,3DMAX,Legacy,,{},False
F9,Liquid,B8,,{},False
C4,GamerLegion,FURIA or Vitality,,{},False
M10,FURIA,Vitality,,{},False
M11,Falcons,MOUZ,,{},False
M12,The MongolZ,Spirit,,{},False
M13,Natus Vincere,G2,,{},False
M14,Aurora,paiN,,{},False
M15,Astralis,FaZe,,{},False
M16,3DMAX,Legacy,,{},False
M17,Liquid,B8,,{},False
M18,FURIA,Vitality,,{},False
M19,Falcons,MOUZ,,{},False
M20,The MongolZ,Spirit,,{},False
M21,Natus Vincere,G2,,{},False
M22,Aurora,paiN,,{},False
M23,Astralis,FaZe,,{},False
M24,3DMAX,Legacy,,{},False
