matchID,team_A,team_B,matchWinner,playerScore,matchPlayed,matchDate,matchTime,server
M1,FURIA,Vitality,FURIA,"{'FURIA': '10', 'Vitality': '6'}",True,01/12/2025,10:00,0
M2,Falcons,MOUZ,MOUZ,"{'Falcons': '3', 'MOUZ': '6'}",True,02/12/2025,11:00,0
M3,The MongolZ,Spirit,Spirit,"{'The MongolZ': '0', 'Spirit': '7'}",True,03/12/2025,12:00,0
M4,Natus Vincere,G2,G2,"{'Natus Vincere': '1', 'G2': '5'}",True,04/12/2025,13:00,0
M5,Aurora,paiN,Aurora,"{'Aurora': '9', 'paiN': '5'}",True,05/12/2025,14:00,0
M6,Astralis,FaZe,Astralis,"{'Astralis': '7', 'FaZe': '0'}",True,07/12/2025,10:00,0
M7,3DMAX,Legacy,3DMAX,"{'3DMAX': '7', 'Legacy': '4'}",True,08/12/2025,11:00,0
M8,Liquid,B8,B8,"{'Liquid': '9', 'B8': '10'}",True,09/12/2025,12:00,0
M9,FURIA,MOUZ,FURIA,"{'FURIA': '4', 'MOUZ': '0'}",True,10/12/2025,13:00,0
M10,Spirit,G2,G2,"{'Spirit': '5', 'G2': '10'}",True,11/12/2025,14:00,0
M11,Aurora,Astralis,Astralis,"{'Aurora': '2', 'Astralis': '4'}",True,13/12/2025,10:00,0
M12,3DMAX,B8,B8,"{'3DMAX': '0', 'B8': '0'}",True,14/12/2025,11:00,0
M13,FURIA,G2,G2,"{'FURIA': '8', 'G2': '10'}",True,15/12/2025,12:00,0
M14,Astralis,B8,Astralis,"{'Astralis': '6', 'B8': '0'}",True,16/12/2025,13:00,0
M15,TBD,TBD,,{},False,17/12/2025,15:00,0
