matchID,team_A,team_B,matchWinner,playerScore,matchPlayed,matchDate,matchTime,server
M1,FURIA,Vitality,Vitality,"{'FURIA': '1', 'Vitality': '3'}",True,01/12/2025,10:00,0
M2,Falcons,MOUZ,Falcons,"{'Falcons': '6', 'MOUZ': '3'}",True,01/12/2025,15:00,0
M3,The MongolZ,Spirit,The MongolZ,"{'The MongolZ': '7', 'Spirit': '2'}",True,02/12/2025,14:00,0
M4,Natus Vincere,G2,G2,"{'Natus Vincere': '3', 'G2': '7'}",True,03/12/2025,13:00,0
M5,Aurora,paiN,paiN,"{'Aurora': '2', 'paiN': '3'}",True,04/12/2025,12:00,0
M6,Astralis,FaZe,Astralis,"{'Astralis': '4', 'FaZe': '1'}",True,05/12/2025,11:00,0
M7,3DMAX,Legacy,Legacy,"{'3DMAX': '1', 'Legacy': '5'}",True,06/12/2025,10:00,0
M8,Liquid,B8,Liquid,"{'Liquid': '3', 'B8': '1'}",True,06/12/2025,15:00,0
M9,GamerLegion,Vitality,GamerLegion,"{'GamerLegion': '4', 'Vitality': '3'}",True,07/12/2025,14:00,0
M10,HEROIC,Falcons,HEROIC,"{'HEROIC': '5', 'Falcons': '4'}",True,08/12/2025,13:00,0
M11,Virtus.rpo,The MongolZ,Virtus.rpo,"{'Virtus.rpo': '9', 'The MongolZ': '1'}",True,09/12/2025,12:00,0
M12,SAW,G2,SAW,"{'SAW': '3', 'G2': '2'}",True,10/12/2025,11:00,0
M13,Passion UA,paiN,,{},False,11/12/2025,10:00,0
M14,M80,Astralis,,{},False,11/12/2025,15:00,0
M15,TBD,TBD,,{},False,12/12/2025,14:00,0
M16,TBD,TBD,,{},False,13/12/2025,13:00,0
M17,TBD,TBD,,{},False,14/12/2025,12:00,0
M18,TBD,TBD,,{},False,15/12/2025,11:00,0
M19,TBD,TBD,,{},False,16/12/2025,10:00,0
M20,TBD,TBD,,{},False,16/12/2025,15:00,0
M21,TBD,TBD,,{},False,17/12/2025,15:00,0
