matchID,team_A,team_B,matchWinner,playerScore,matchPlayed,matchDate,matchTime,server
M1,FURIA,Vitality,FURIA,"{'FURIA': '2', 'Vitality': '1'}",True,01/12/2025,10:00,0
M2,Falcons,MOUZ,Falcons,"{'Fal+cons': '1', 'MOUZ': '0'}",True,01/12/2025,15:00,0
M3,The MongolZ,Spirit,The MongolZ,"{'The MongolZ': '2', 'Spirit': '1'}",True,02/12/2025,14:00,0
M4,Natus Vincere,G2,Natus Vincere,"{'Natus Vincere': '2', 'G2': '1'}",True,03/12/2025,13:00,0
M5,Aurora,paiN,Aurora,"{'Aurora': '2', 'paiN': '1'}",True,04/12/2025,12:00,0
M6,Astralis,FaZe,Astralis,"{'Astralis': '2', 'FaZe': '1'}",True,05/12/2025,11:00,0
M7,3DMAX,Legacy,3DMAX,"{'3DMAX': '2', 'Legacy': '1'}",True,06/12/2025,10:00,0
M8,Liquid,B8,B8,"{'Liquid': '1', 'B8': '2'}",True,06/12/2025,15:00,0
M9,GamerLegion,FURIA,FURIA,"{'GamerLegion': '1', 'FURIA': '2'}",True,07/12/2025,14:00,0
M10,HEROIC,Falcons,Falcons,"{'HEROIC': '1', 'Falcons': '2'}",True,08/12/2025,13:00,0
M11,Virtus.rpo,The MongolZ,The MongolZ,"{'Virtus.rpo': '1', 'The MongolZ': '2'}",True,09/12/2025,12:00,0
M12,SAW,Natus Vincere,Natus Vincere,"{'SAW': '1', 'Natus Vincere': '2'}",True,10/12/2025,11:00,0
M13,Passion UA,Aurora,Aurora,"{'Passion UA': '1', 'Aurora': '2'}",True,11/12/2025,10:00,0
M14,M80,Astralis,Astralis,"{'M80': '1', 'Astralis': '2'}",True,11/12/2025,15:00,0
M15,FURIA,Falcons,Falcons,"{'FURIA': '1', 'Falcons': '2'}",True,12/12/2025,14:00,0
M16,The MongolZ,Natus Vincere,Natus Vincere,"{'The MongolZ': '1', 'Natus Vincere': '2'}",True,13/12/2025,13:00,0
M17,Aurora,Astralis,Astralis,"{'Aurora': '1', 'Astralis': '2'}",True,14/12/2025,12:00,0
M18,3DMAX,B8,B8,"{'3DMAX': '1', 'B8': '2'}",True,15/12/2025,11:00,0
M19,Falcons,Natus Vincere,Natus Vincere,"{'Falcons': '1', 'Natus Vincere': '2'}",True,16/12/2025,10:00,0
M20,Astralis,B8,B8,"{'Astralis': '1', 'B8': '2'}",True,16/12/2025,15:00,0
M21,Natus Vincere,B8,Natus Vincere,"{'Natus Vincere': '10', 'B8': '0'}",True,17/12/2025,15:00,0
M22,FURIA,Vitality,Vitality,"{'FURIA': '1', 'Vitality': '15'}",True,11/12/2025,10:00,0
M23,FURIA,Vitality,FURIA,"{'FURIA': '2', 'Vitality': '1'}",True,11/12/2025,10:00,0
M24,Falcons,MOUZ,,{},False,11/12/2025,12:00,0
M25,The MongolZ,Spirit,,{},False,11/12/2025,14:00,0
M26,Natus Vincere,G2,,{},False,12/12/2025,11:00,0
M27,Aurora,paiN,,{},False,12/12/2025,13:00,0
M28,Astralis,FaZe,,{},False,13/12/2025,10:00,0
M29,3DMAX,Legacy,,{},False,13/12/2025,12:00,0
M30,Liquid,B8,,{},False,13/12/2025,14:00,0
M31,GamerLegion,FURIA,,{},False,14/12/2025,11:00,0
M32,HEROIC,Falcons or MOUZ,,{},False,14/12/2025,13:00,0
M33,Virtus.rpo,The MongolZ or Spirit,,{},False,15/12/2025,10:00,0
M34,SAW,Natus Vincere or G2,,{},False,15/12/2025,12:00,0
M35,Passion UA,Aurora or paiN,,{},False,15/12/2025,14:00,0
M36,M80,Astralis or FaZe,,{},False,16/12/2025,11:00,0
M37,Lynn Vision,3DMAX or Legacy,,{},False,16/12/2025,13:00,0
M38,FUT,Liquid or B8,,{},False,17/12/2025,10:00,0
M39,TBD,TBD,,{},False,17/12/2025,12:00,0
M40,TBD,TBD,,{},False,17/12/2025,14:00,0
M41,TBD,TBD,,{},False,18/12/2025,11:00,0
M42,TBD,TBD,,{},False,18/12/2025,13:00,0
M43,TBD,TBD,,{},False,19/12/2025,10:00,0
M44,TBD,TBD,,{},False,19/12/2025,12:00,0
M45,TBD,TBD,,{},False,19/12/2025,15:00,0
M46,FURIA,Vitality,FURIA,"{'FURIA': '10', 'Vitality': '5'}",True,10/06/2025,10:00,0
M47,Falcons,MOUZ,Falcons,"{'Falcons': '10', 'MOUZ': '6'}",True,10/06/2025,15:00,0
M48,The MongolZ,Spirit,The MongolZ,"{'The MongolZ': '3', 'Spirit': '2'}",True,11/06/2025,15:00,0
M49,Natus Vincere,G2,,{},False,12/06/2025,15:00,0
M50,Aurora,paiN,,{},False,13/06/2025,15:00,0
M51,Astralis,FaZe,,{},False,14/06/2025,15:00,0
M52,3DMAX,Legacy,,{},False,15/06/2025,15:00,0
M53,Liquid,B8,,{},False,16/06/2025,15:00,0
M54,TBD,TBD,,{},False,17/06/2025,15:00,0
M55,TBD,TBD,,{},False,18/06/2025,15:00,0
M56,TBD,TBD,,{},False,19/06/2025,15:00,0
M57,TBD,TBD,,{},False,20/06/2025,15:00,0
M58,TBD,TBD,,{},False,21/06/2025,15:00,0
M59,TBD,TBD,,{},False,22/06/2025,15:00,0
M60,TBD,TBD,,{},False,23/06/2025,15:00,0
M61,FURIA,Vitality,FURIA,"{'FURIA': '10', 'Vitality': '5'}",True,10/12/2025,10:00,0
M62,Falcons,MOUZ,Falcons,"{'Falcons': '10', 'MOUZ': '5'}",True,10/12/2025,15:00,0
M63,The MongolZ,Spirit,The MongolZ,"{'The MongolZ': '10', 'Spirit': '5'}",True,11/12/2025,15:00,0
M64,Natus Vincere,G2,G2,"{'Natus Vincere': '1', 'G2': '2'}",True,12/12/2025,15:00,0
M65,Aurora,paiN,paiN,"{'Aurora': '5', 'paiN': '6'}",True,13/12/2025,15:00,0
M66,Astralis,FaZe,,{},False,14/12/2025,15:00,0
M67,3DMAX,Legacy,,{},False,15/12/2025,15:00,0
M68,Liquid,B8,,{},False,16/12/2025,15:00,0
M69,TBD,TBD,,{},False,17/12/2025,15:00,0
M70,TBD,TBD,,{},False,18/12/2025,15:00,0
M71,TBD,TBD,,{},False,19/12/2025,15:00,0
M72,TBD,TBD,,{},False,20/12/2025,15:00,0
M73,TBD,TBD,,{},False,21/12/2025,15:00,0
M74,TBD,TBD,,{},False,22/12/2025,15:00,0
M75,TBD,TBD,,{},False,23/12/2025,15:00,0
